"LUDF Farm Monitoring and Farm Walk Notes (Wednesday's, 9 am) - 2023-2024 Season",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farm Area,,Date,5-Jul,12-Jul,19-Jul,26-Jul,2-Aug,9-Aug,16-Aug,23-Aug,30-Aug,6-Sep,13-Sep,20-Sep,27-Sep,4-Oct,11-Oct,18-Oct,25-Oct,1-Nov,8-Nov,15-Nov,22-Nov,29-Nov,6-Dec,13-Dec,20-Dec,27-Dec,3-Jan,10-Jan,17-Jan,24-Jan,31-Jan,7-Feb,14-Feb,21-Feb,28-Feb,6-Mar,13-Mar,20-Mar,27-Mar,3-Apr,10-Apr,17-Apr,24-Apr,1-May,8-May,15-May,22-May,29-May,5-Jun,12-Jun,19-Jun,26-Jun
,Average pasture cover ,kgDM/HA,,,2711,,2799,,,,2480,2340,2415,2421,2422,2202,2358,2318,2400,2444,2345,2369,2348,2411,2359,2240,2318,,2357,2526,2329,2206,2206,2234,2260,2339,2325,2438,2477,2523,2530,2504,2514,2560,2547,,2225,2075,1946,1875,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current Pasture Fed - Milkers,kgDM/cow,,,,,9,,,,,15.39,15.68,14.12,16.6,18.02,16.44,20,20,20,20,20,20,20,20,19.5,15.75,15.12,16.77,18.8,18.6,16.23,12.35,11.33,9.54,11.79,9.54,10.52,9.08,10.68,10.47,10.68,12.65,9.76,11.95,16.7,16.7,15.03,11.24,14.3,,,,
plus,Current Silage Fed - Milkers,kgDM/cow,,,,6,5,3.22,3.12,2.57,2.02,2.11,2.32,3.88,2.4,1.98,3.56,0,0,0,0,0,0,0,0,0,3.05,3.68,2.03,0,0,2.37,6.25,7.27,8.36,6.11,8.36,7.38,8.82,7.22,7.43,7.22,4.95,7.84,4.75,0,0,1.67,4.76,1.7,,,,
equals,Current Demand per cow,kgDM/cow,,,,,,,,,,17.5,18,18,19,20,20,20,20,20,19.6,19.6,19.2,19.2,18.8,18.8,18.8,18.8,18.8,18.8,18.6,18.6,18.6,18.6,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.6,17.6,16.7,16.7,16.7,16.7,16,16,,,,
X,Stocking Rate - Milkers,Cows/HA,,,,,,,,,2.8,3.1,3.21,3.53,3.52,3.52,3.52,3.52,3.52,3.52,3.65,3.65,3.65,3.65,3.65,3.65,3.52,3.52,3.52,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.43,3.43,3.43,3.47,3.47,3.47,3.19,3.19,2.91,2.91,2.83,0,,,,
=,Current Pasture Demand - Milkers,kgDM/HA,,,,,,,,,,,,,66,68,68,68,68,72,71,73,73,72,72,72,68,68,68,68,68,68,68,68,65,65,65,65,61,61,61,61,60,60,53,53,48,48,45,0,,,,
Where,Pasture Growth (pasture coach),kgDM/HA,19,19,19,,10,,,,9,28,48,58,53,43,84,83,88,83,87,82,82,84,83,70,81,,70,79,72,59,63,63,69,76,61,63,56,55,53,43,53,61,50,,36,21,22,21,,,,
,Pre-grazing cover (ave for week),kgDM/HA,,,,,,,,,3200,3173,3196,3447,3236,3358,3050,2939,3197,3197,3367,3330,3277,3265,3372,3147,2956,3028,3120,3190,3184,3003,2940,2830,2859,2922,3057,3058,3098,3195,3119,3325,3309,3268,3428,3353,3367,3137,2659,2462,,,,
,Residual (ave for week),kgDM/HA,,,,,,,,,1600,1600,1600,1600,1600,1600,1600,1600,1550,1550,1550,1550,1550,1550,1550,1550,1550,1500,1550,1550,1550,1550,1500,1500,1500,1500,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1500,1500,1500,,,,
,Current Round Length,Days,,,,,,,,,40,48,37,37.8,34.6,28.8,23.6,21.5,24,23.88,22,23,23,23,22.45,20,20,20,21,23,22,19.7,19,21,20.5,23.5,22.7,28.7,33.3,45.7,37.2,41.6,33,36,37,38,39.6,41,28,24,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farm conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soil temp average (Aquaflex),degree C,7.51,7.31,7.34,7.48,6.91,6.78,5.88,6.6,7,8.32,9.81,9.51,9.72,9.3,10.56,10.86,12,12.06,13.53,13.72,14.62,14.28,14.47,14.98,16.3,17.89,17.4,17.6,18,18.6,17.48,16.9,16.4,16.4,16.53,16,15.3,14.1,14.5,13.22,12.89,13,11.7,10.97,9.37,7.4,8.1,7.8,,,,
,Rainfall ,mm,14.8,28.6,0.4,90.8,6.6,5.4,4.2,3.6,5.4,1.4,0,0,23.2,26.8,6.2,13.4,0,3.8,45.6,0.2,3.8,8,10.6,13.8,2.6,3.4,15,1.2,2,27,0.4,0.8,21,1.8,0.4,3.6,2.2,19.8,0,0,0,18.8,0,2.2,6.8,9.4,8.8,7.4,,,,
,Irrigation days this week,days,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,1,0,5,3,4,4,4,3,5,4,6,3,5,5,1,4,3,2,4,1,3,2,2,0,1,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current Roster,,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2
,Health & Safety Incidences,,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
,Milking Routine,,OAD,OAD,OAD,10 in 7,10 in 7,OAD,OAD,OAD,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7
