"LUDF Farm Monitoring and Farm Walk Notes (Wednesday's, 9 am) - 2022/2023 Season",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farm Area,,Date,6-Jun,13-Jun,20-Jun,27-Jun,4-Jul,11-Jul,18-Jul,25-Jul,1-Aug,8-Aug,15-Aug,24-Aug,31-Aug,7-Sep,14-Sep,21-Sep,28-Sep,5-Oct,12-Oct,19-Oct,26-Oct,1-Nov,8-Nov,15-Nov,22-Nov,29-Nov,6-Dec,13-Dec,20-Dec,27-Dec,3-Jan,10-Jan,17-Jan,24-Jan,31-Jan,7-Feb,13-Feb,20-Feb,27-Feb,6-Mar,13-Mar,20-Mar,27-Mar,3-Apr,10-Apr,17-Apr,24-Apr,1-May,8-May,15-May,22-May,29-May
,Protein:Fat ratio,%,,,,,,,,,0.68,0.78,0.78,0.78,0.78,0.79,0.78,0.79,0.82,0.81,0.82,0.84,0.81,0.86,0.8,0.81,0.84,0.82,0.81,0.81,0.82,0.8,0.82,0.84,0.82,0.84,0.82,0.83,0.8,0.79,0.77,0.82,0.81,0.82,0.8,0.82,0.81,0.8,0.78,0.8,0.81,0.82,0.8,0.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed Budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average pasture cover ,kgDM/HA,,,,,,2467,,,2611,,,,2384,,2391,2337,,2441,2344,2251,2279,2344,2373,2536,2335,2251,2269,2168,2327,,2282,2256,2281,2343,2285,2405,2407,,,2281,,2385,2438,2411,2346,2445,,2382,2361,2251,1995,1740
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current Pasture Fed - Milkers,kgDM/cow,,,,,,,,,,,,,,,,14.8,15.38,19.18,20,20,16.85,20,20,20,20,20,17.9,17.38,14.54,14.97,15.53,17.6,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,11.77,13,9.85,9.12,12.06,11.49,12.72,13.05,16.5,16.5,16.5,14.5
plus,Current Silage Fed - Milkers,kgDM/cow,,,,,,0,,0,0,0,0,3.19,3.59,4.79,7.13,3.7,3.62,0.82,0,0,3.15,0,0,0,0,0,2.1,2.62,4.46,4.03,3.68,1.4,0,0,0,0,0,0,0,0,5.43,4.2,7.35,8.08,5.14,5.01,3.78,3.45,0,0,0,2.07
equals,Current Demand per cow,kgDM/cow,,,,,,,,,,,,,,,,18.5,19.5,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,16.5,16.5,16.5,16.5,16.5,16.5,11.98
X,Stocking Rate - Milkers,Cows/HA,,,,,,,,,0.91,1.73,2.31,2.68,2.92,3.11,3.24,3.31,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.55,3.55,3.55,3.36,3.36,3.53,3.53,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.47,3.47,3.47,3.47,3.47,2.95,2.95,2.95,2.79
=,Current Pasture Demand - Milkers,kgDM/HA,,,,,,,,,,,,,,,,,,67,68,68,68,68,73,73,73,73,73,73,69,67,67,67,60,60,60,60,60,58,58,58,58,58,58,58,58,60,45,45,40,40,,
Where,Pasture Growth (pasture coach),kgDM/HA,,,,,,16,,,13,,,,20,,34,49,,62,54,64,70,89,87,97,60,84,76,75,88,,83,76,68,69,69,68,76,,,55,,60,60,53,51,40,,43,58,38,,16
,Pre-grazing cover (ave for week),kgDM/HA,,,,,,,,,,,3132,3292,3324,3306,3162,3193,3087,3148,3165,3186,2989,3018,3145,3299,3259,3280,2982,2961,2861,3015,3148,3051,3087,2868,3273,2962,3078,,,2905,2964,2826,3223,3325,3068,3189,3313,3331,3162,3152,,
,Residual (ave for week),kgDM/HA,,,,,,,,,,,1650,1750,1650,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1500,1500,1500,1500,1500,1500,1500,1500,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1600,1600,1600,1600,1550,1600,1500
,Current Round Length,Days,,,,,,,,,125,114,53,47,47,47,44,40,36,27,26,23,25,21,23,23,19,23,19,19,17,22,20,21,24,24,24,25,25,21,20,28,28,28,31,29,31,29,39,41,29,30,22,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farm conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soil temp average (Aquaflex),degree C,8.91,8.77,6.53,6.01,6.05,5.98,5.89,6.18,7.12,7.42,5.18,8.79,8.27,8.21,8.65,8.39,9.76,9.42,8.7,10.47,10.98,13.38,14.44,15,15.85,14.9,15.5,15.73,17.79,17.68,17.26,18.1,17.73,18.4,18.45,19.76,18.17,17.56,17.1,17.24,16.83,16.2,15.04,12.52,12.92,13.72,14,11.6,13.41,11.55,10.3,9.7
,Rainfall ,mm,14.4,5.2,3.4,1.4,16,24.8,50,43.8,109.2,3.8,16.6,7.4,8.2,1.8,16.8,0,0,3.8,13.8,3.6,9.4,8.2,0,9,39,15.4,10,2.2,22.4,8.2,4,20,2.2,1,6.8,0.6,7.2,24.8,56,13.6,31.8,17.4,18.6,35.8,0.4,5.2,30,7.6,1.2,20.8,37.2,0
,Irrigation days this week,days,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,3,5,3,0,0,2,3,2,0,4,2,6,3,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current Roster,,,,,,,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2
,Health & Safety Incidences,,,,,,,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
,Milking Routine,,,,,,,OAD,OAD,OAD,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7
